,kV,kVAr,µF,Hz,Amp,L (mm),L1 (mm),W (mm),H (mm),H2 (mm),X (mm),Stud (mm),Weight (kg),Phases,Bushing,Fuse
B25161F0100C007,7.2,100,3.07,50,8.02,390,445,115,400,200,140,M12,31,3,3,external
B25161F0150C007,7.2,150,4.61,50,12.03,390,445,115,550,200,140,M12,41,3,3,external
B25161F0200C007,7.2,200,6.14,50,16.04,390,445,138,600,200,140,M16,51,3,3,external
B25161F0250C007,7.2,250,7.68,50,20.05,390,445,178,600,200,140,M16,63,3,3,external
B25161F0300C007,7.2,300,9.22,50,24.06,390,445,178,700,300,140,M16,72,3,3,external
B25161F0100C009,7.2,100,2.56,60,8.02,390,445,138,600,200,140,M16,51,3,3,external
B25161F0150C009,7.2,150,3.84,60,12.03,390,445,155,600,200,140,M16,56,3,3,external
B25161F0200C009,7.2,200,5.12,60,16.04,390,445,178,600,200,140,M16,63,3,3,external
B25161F0250C009,7.2,250,6.4,60,20.05,390,445,178,700,300,140,M16,72,3,3,external
B25161F0350C007,7.2,350,8.96,60,28.07,390,445,178,800,300,140,M16,81,3,3,external
B25161K0100C006,11,100,1.32,50,5.25,475,530,115,290,100,180,M12,28,3,3,external
B25161K0150C006,11,150,1.97,50,7.87,475,530,115,350,100,180,M12,33,3,3,external
B25161K0200C006,11,200,2.63,50,10.5,475,530,115,390,100,180,M12,36,3,3,external
B25161K0250C006,11,250,3.29,50,13.12,475,530,138,390,100,180,M12,41,3,3,external
B25161K0300C006,11,300,3.95,50,15.75,500,555,155,390,100,180,M12,47,3,3,external
B25161K0350C006,11,350,4.61,50,18.37,525,580,178,390,100,180,M12,55,3,3,external
B25161K0400C006,11,400,5.26,50,21,525,580,200,390,100,180,M12,61,3,3,external
B25161K0450C006,11,450,5.92,50,23.62,475,530,155,600,200,180,M12,66,3,3,external
B25161K0500C006,11,500,6.58,50,26.24,475,530,155,650,200,180,M12,71,3,3,external
B25161A0050A005,1.91,50,43.9,50,26.25,350,404,120,200,100,230,M12,17,1,2,Internal
B25161A0100A005,1.91,100,87.8,50,52.49,350,404,120,300,100,230,M16,23,1,2,Internal
B25161A0150A005,1.91,150,131.6,50,78.74,350,404,120,400,200,230,M16,29,1,2,Internal
B25161A0200A005,1.91,200,175.5,50,104.99,350,404,120,500,200,230,M16,35,1,2,Internal
B25161B0050A005,2.4,50,27.6,50,20.83,350,404,120,200,100,230,M12,17,1,2,Internal
B25161B0100A005,2.4,100,55.3,50,41.67,350,404,120,300,100,230,M16,23,1,2,Internal
B25161B0150A005,2.4,150,82.9,50,62.5,350,404,120,375,100,230,M16,27,1,2,Internal
B25161B0200A005,2.4,200,110.6,50,83.33,350,404,120,475,200,230,M16,33,1,2,Internal
B25161C0050A005,3.3,50,14.6,50,15.15,350,404,120,200,100,230,M12,17,1,2,Internal
B25161C0100A005,3.3,100,29.2,50,30.3,350,404,120,300,100,230,M16,23,1,2,Internal
B25161C0150A005,3.3,150,43.9,50,45.45,350,404,120,400,200,230,M16,29,1,2,Internal
B25161C0200A005,3.3,200,58.5,50,60.61,350,404,120,500,200,230,M16,35,1,2,Internal
B25161C0250A005,3.3,250,73.1,50,75.76,350,404,145,500,200,230,M16,40,1,2,Internal
B25161C0300A005,3.3,300,87.7,50,90.91,350,404,145,575,200,230,M16,46,1,2,Internal
B25161C0100A007,3.81,100,21.9,50,26.25,350,404,120,300,100,230,M12,23,1,2,Internal
B25161C0150A007,3.81,150,32.9,50,39.37,350,404,120,400,200,230,M16,29,1,2,Internal
B25161C0200A007,3.81,200,43.9,50,52.49,350,404,120,500,200,230,M16,35,1,2,Internal
B25161C0250A007,3.81,250,54.8,50,65.62,350,404,145,500,200,230,M16,40,1,2,Internal
B25161D0100A006,4.8,100,13.8,50,20.83,350,404,120,300,100,230,M12,23,1,2,Internal
B25161D0150A006,4.8,150,20.7,50,31.25,350,404,120,375,100,230,M16,27,1,2,Internal
B25161D0200A006,4.8,200,27.6,50,41.67,350,404,120,475,200,230,M16,33,1,2,Internal
B25161D0250A006,4.8,250,34.6,50,52.08,350,404,120,575,200,230,M16,39,1,2,Internal
